kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,"64, 2",0.8324176073074341,"[[369  57   5  10]
 [ 21 384  10   5]
 [  1  23  33   9]
 [  9  17  16 123]]",108,0.05070925131440163,0.9492907524108887,"V7: 0.24
V13: 0.19
V4: 0.18","V14: 0.52
V19: 0.51
V13: 0.46"
12,8,0.001,"64, 4",0.8415750861167908,"[[379  50   9   3]
 [ 21 386  12   1]
 [  2  23  35   6]
 [  7  11  28 119]]",109,0.09718053042888641,0.9028194546699524,"V7: 0.24
V12: 0.21
V10: 0.20","V14: 0.42
V13: 0.41
V8: 0.39"
12,8,0.001,"64, 8",0.7921245694160461,"[[338  90   9   4]
 [ 25 381   9   5]
 [  7  17  37   5]
 [  7  12  37 109]]",101,0.003557168645784259,0.9964428544044495,"V12: 0.27
V22: 0.24
V4: 0.23","V13: 0.52
V18: 0.47
V8: 0.47"
12,8,0.001,"32, 2",0.8635531067848206,"[[391  32  11   7]
 [ 26 381   9   4]
 [  1  16  45   4]
 [ 11  11  17 126]]",71,0.2450665384531021,0.7549334764480591,"V22: 0.24
V21: 0.24
V13: 0.21","V13: 0.41
V18: 0.39
V19: 0.39"
12,8,0.001,"32, 4",0.8717948794364929,"[[395  34   7   5]
 [ 21 389   9   1]
 [  1  11  53   1]
 [ 13   9  28 115]]",85,0.35908353328704834,0.6409164071083069,"V18: 0.23
V14: 0.20
V13: 0.20","V18: 0.39
V13: 0.36
V19: 0.35"
12,8,0.001,"32, 8",0.872710645198822,"[[386  40   5  10]
 [ 22 390   7   1]
 [  1  10  55   0]
 [ 14  12  17 122]]",73,0.21264584362506866,0.7873541712760925,"V13: 0.24
V22: 0.23
V14: 0.22","V13: 0.42
V8: 0.38
V12: 0.37"
12,8,0.001,"16, 2",0.8836996555328369,"[[400  28   6   7]
 [ 33 375   8   4]
 [  0   6  59   1]
 [  8  12  14 131]]",57,0.6228018403053284,0.37719815969467163,"V22: 0.23
V13: 0.23
V12: 0.22","V18: 0.47
V13: 0.46
V19: 0.43"
12,8,0.001,"16, 4",0.8525640964508057,"[[376  46   9  10]
 [ 32 376  10   2]
 [  1  11  51   3]
 [ 13   9  15 128]]",80,0.6396231055259705,0.3603769540786743,"V13: 0.26
V18: 0.23
V14: 0.21","V18: 0.42
V19: 0.39
V17: 0.38"
12,8,0.001,"16, 8",0.8827838897705078,"[[401  25   9   6]
 [ 19 395   5   1]
 [  3  14  44   5]
 [  9  15  17 124]]",54,0.5772367119789124,0.42276322841644287,"V13: 0.27
V22: 0.26
V14: 0.20","V13: 0.46
V18: 0.43
V17: 0.42"
6,7,1e-05,"64, 2",0.8690476417541504,"[[384  40  11   6]
 [ 18 392   9   1]
 [  3  17  44   2]
 [ 10   8  18 129]]",70,0.08497573435306549,0.9150242805480957,"V11: 0.26
V14: 0.25
V3: 0.23","V13: 0.38
V18: 0.38
V17: 0.37"
6,7,1e-05,"64, 4",0.8855311274528503,"[[407  23   6   5]
 [ 17 392   7   4]
 [  5  10  47   4]
 [ 17  12  15 121]]",100,0.12237723171710968,0.8776227831840515,"V11: 0.26
V14: 0.25
V3: 0.23","V13: 0.40
V18: 0.38
V19: 0.36"
6,7,1e-05,"64, 8",0.8672161102294922,"[[393  33  10   5]
 [ 16 398   6   0]
 [  0  16  46   4]
 [ 16  13  26 110]]",94,0.10812710970640182,0.8918729424476624,"V11: 0.26
V14: 0.25
V3: 0.23","V13: 0.38
V19: 0.34
V14: 0.33"
6,7,1e-05,"32, 2",0.8873626589775085,"[[395  36   5   5]
 [ 23 386   9   2]
 [  0   9  54   3]
 [ 19   2  10 134]]",86,0.2614690363407135,0.7385309338569641,"V11: 0.26
V14: 0.25
V3: 0.23","V18: 0.45
V19: 0.43
V14: 0.40"
6,7,1e-05,"32, 4",0.8827838897705078,"[[385  43   8   5]
 [ 17 392   7   4]
 [  2   7  57   0]
 [ 10  12  13 130]]",70,0.1741790920495987,0.8258209228515625,"V11: 0.26
V14: 0.25
V3: 0.23","V18: 0.46
V13: 0.43
V17: 0.42"
6,7,1e-05,"32, 8",0.8754578828811646,"[[392  36   5   8]
 [ 21 388   9   2]
 [  1  15  48   2]
 [  7  13  17 128]]",83,0.1851319968700409,0.8148679733276367,"V11: 0.26
V14: 0.25
V3: 0.23","V18: 0.43
V13: 0.42
V17: 0.39"
6,7,1e-05,"16, 2",0.8571428656578064,"[[397  32   9   3]
 [ 23 382  12   3]
 [  2  11  50   3]
 [ 10  20  28 107]]",85,0.15721096098423004,0.8427890539169312,"V11: 0.26
V14: 0.25
V3: 0.23","V13: 0.38
V18: 0.37
V17: 0.37"
6,7,1e-05,"16, 4",0.8205128312110901,"[[373  49   8  11]
 [ 31 366  18   5]
 [  2  27  36   1]
 [ 10  14  20 121]]",101,0.3688843548297882,0.6311156749725342,"V11: 0.26
V14: 0.25
V3: 0.23","V13: 0.39
V18: 0.36
V12: 0.34"
6,7,1e-05,"16, 8",0.872710645198822,"[[394  35   6   6]
 [ 15 390  13   2]
 [  1  11  52   2]
 [ 18  11  19 117]]",101,0.3031831979751587,0.6968168616294861,"V11: 0.26
V14: 0.25
V3: 0.23","V17: 0.40
V18: 0.40
V13: 0.39"
10,8,0.001,"64, 2",0.8736263513565063,"[[401  27   7   6]
 [ 20 390   5   5]
 [  3  16  42   5]
 [ 13  14  17 121]]",86,0.2159740924835205,0.7840259075164795,"V1: 0.22
V21: 0.22
V10: 0.21","V13: 0.38
V19: 0.35
V12: 0.34"
10,8,0.001,"64, 4",0.8617216348648071,"[[379  50   7   5]
 [ 22 389   5   4]
 [  0  20  43   3]
 [  6  14  15 130]]",94,0.05904178321361542,0.9409582614898682,"V21: 0.23
V12: 0.22
V1: 0.20","V12: 0.32
V13: 0.30
V17: 0.28"
10,8,0.001,"64, 8",0.872710645198822,"[[387  37   9   8]
 [ 16 388  14   2]
 [  1  10  52   3]
 [ 17   7  15 126]]",98,0.07537810504436493,0.9246218800544739,"V11: 0.23
V19: 0.22
V1: 0.21","V13: 0.38
V14: 0.36
V12: 0.35"
10,8,0.001,"32, 2",0.8763736486434937,"[[388  36   7  10]
 [ 18 399   3   0]
 [  3  11  47   5]
 [ 18  16   8 123]]",48,0.31070271134376526,0.6892973184585571,"V5: 0.27
V12: 0.25
V10: 0.24","V13: 0.35
V19: 0.33
V18: 0.33"
10,8,0.001,"32, 4",0.8791208863258362,"[[399  29   6   7]
 [ 21 390   8   1]
 [  3  10  49   4]
 [ 19   7  17 122]]",90,0.3620476722717285,0.6379523277282715,"V1: 0.26
V14: 0.22
V19: 0.21","V19: 0.37
V18: 0.34
V14: 0.34"
10,8,0.001,"32, 8",0.8855311274528503,"[[397  27   7  10]
 [ 15 398   6   1]
 [  1  12  49   4]
 [ 14   8  20 123]]",87,0.408115416765213,0.5918845534324646,"V1: 0.26
V19: 0.22
V13: 0.22","V13: 0.36
V18: 0.33
V8: 0.32"
10,8,0.001,"16, 2",0.8736263513565063,"[[398  26  11   6]
 [ 18 389  11   2]
 [  2   9  48   7]
 [ 12  12  22 119]]",76,0.623243510723114,0.376756489276886,"V21: 0.25
V5: 0.22
V1: 0.21","V13: 0.35
V8: 0.33
V9: 0.31"
10,8,0.001,"16, 4",0.8589743375778198,"[[394  35   7   5]
 [ 31 376  10   3]
 [  1  15  48   2]
 [  6  16  23 120]]",52,0.5694021582603455,0.43059787154197693,"V5: 0.30
V21: 0.25
V10: 0.20","V13: 0.44
V18: 0.42
V17: 0.42"
10,8,0.001,"16, 8",0.8717948794364929,"[[394  26  12   9]
 [ 29 371  19   1]
 [  1   7  56   2]
 [ 11   8  15 131]]",82,0.5110920667648315,0.48890796303749084,"V21: 0.25
V5: 0.25
V1: 0.20","V13: 0.46
V14: 0.42
V19: 0.41"
11,7,0.001,"64, 2",0.8745421171188354,"[[401  22  14   4]
 [ 32 379   6   3]
 [  2   9  53   2]
 [ 16  11  16 122]]",84,0.12583857774734497,0.8741614818572998,"V15: 0.27
V14: 0.27
V24: 0.23","V18: 0.49
V13: 0.46
V19: 0.46"
11,7,0.001,"64, 4",0.8919413685798645,"[[403  24   9   5]
 [ 21 387   9   3]
 [  0   5  59   2]
 [ 14   9  17 125]]",105,0.1894521713256836,0.8105478286743164,"V15: 0.28
V24: 0.23
V14: 0.20","V18: 0.48
V13: 0.46
V17: 0.46"
11,7,0.001,"64, 8",0.8589743375778198,"[[374  47  12   8]
 [ 25 385   7   3]
 [  1  14  50   1]
 [ 12   8  16 129]]",53,0.08929041028022766,0.9107096195220947,"V13: 0.26
V14: 0.25
V9: 0.22","V18: 0.38
V19: 0.35
V17: 0.33"
11,7,0.001,"32, 2",0.8470696210861206,"[[384  42   8   7]
 [ 25 384   7   4]
 [  1  22  39   4]
 [  9  13  25 118]]",69,0.14086498320102692,0.8591350317001343,"V1: 0.26
V24: 0.25
V22: 0.22","V18: 0.35
V19: 0.31
V17: 0.30"
11,7,0.001,"32, 4",0.8626373410224915,"[[394  29  13   5]
 [ 23 385  10   2]
 [  5  12  47   2]
 [ 13  12  24 116]]",87,0.15993225574493408,0.8400676846504211,"V1: 0.26
V24: 0.25
V16: 0.21","V13: 0.35
V12: 0.30
V8: 0.30"
11,7,0.001,"32, 8",0.8690476417541504,"[[386  37   9   9]
 [ 21 383  13   3]
 [  0  11  50   5]
 [ 10   9  16 130]]",107,0.2028510868549347,0.7971489429473877,"V24: 0.23
V1: 0.21
V16: 0.19","V18: 0.38
V14: 0.38
V19: 0.36"
11,7,0.001,"16, 2",0.8901098966598511,"[[404  19  11   7]
 [ 20 389  10   1]
 [  1  12  50   3]
 [ 13   9  14 129]]",67,0.37440434098243713,0.6255956292152405,"V1: 0.25
V24: 0.25
V14: 0.21","V18: 0.39
V17: 0.38
V19: 0.35"
11,7,0.001,"16, 4",0.8553113341331482,"[[385  36  12   8]
 [ 23 380  11   6]
 [  0  14  48   4]
 [ 18  16  10 121]]",87,0.6253438591957092,0.37465617060661316,"V1: 0.25
V24: 0.23
V20: 0.22","V18: 0.39
V13: 0.32
V19: 0.31"
11,7,0.001,"16, 8",0.8571428656578064,"[[384  44   7   6]
 [ 23 383  10   4]
 [  1  18  44   3]
 [ 12  10  18 125]]",42,0.6319930553436279,0.36800694465637207,"V14: 0.27
V15: 0.26
V24: 0.26","V13: 0.39
V14: 0.38
V18: 0.34"
